OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wcharm,central,4,0.0,2.5,20,30,-1,1,1.004892
L,wcharm,central,4,0.0,2.5,30,40,-1,1,1.012721
L,wcharm,central,4,0.0,2.5,40,50,-1,1,0.986546
L,wcharm,central,4,0.0,2.5,50,110,-1,1,0.979539
L,wcharm,central,4,0.0,2.5,110,210,-1,1,0.946635
L,wcharm,down,4,0.0,2.5,20,30,-1,1,0.9666109999999999
L,wcharm,down,4,0.0,2.5,30,40,-1,1,0.906133
L,wcharm,down,4,0.0,2.5,40,50,-1,1,0.856384
L,wcharm,down,4,0.0,2.5,50,110,-1,1,0.933165
L,wcharm,down,4,0.0,2.5,110,210,-1,1,0.878052
L,wcharm,up,4,0.0,2.5,20,30,-1,1,1.043173
L,wcharm,up,4,0.0,2.5,30,40,-1,1,1.1193089999999999
L,wcharm,up,4,0.0,2.5,40,50,-1,1,1.116708
L,wcharm,up,4,0.0,2.5,50,110,-1,1,1.025913
L,wcharm,up,4,0.0,2.5,110,210,-1,1,1.015218
M,wcharm,central,4,0.0,2.5,20,30,-1,1,0.974186
M,wcharm,central,4,0.0,2.5,30,40,-1,1,0.80563
M,wcharm,central,4,0.0,2.5,40,50,-1,1,0.775725
M,wcharm,central,4,0.0,2.5,50,110,-1,1,0.902168
M,wcharm,central,4,0.0,2.5,110,210,-1,1,0.7998
M,wcharm,down,4,0.0,2.5,20,30,-1,1,0.937848
M,wcharm,down,4,0.0,2.5,30,40,-1,1,0.7591779999999999
M,wcharm,down,4,0.0,2.5,40,50,-1,1,0.723381
M,wcharm,down,4,0.0,2.5,50,110,-1,1,0.8349949999999999
M,wcharm,down,4,0.0,2.5,110,210,-1,1,0.661559
M,wcharm,up,4,0.0,2.5,20,30,-1,1,1.010524
M,wcharm,up,4,0.0,2.5,30,40,-1,1,0.852082
M,wcharm,up,4,0.0,2.5,40,50,-1,1,0.8280689999999999
M,wcharm,up,4,0.0,2.5,50,110,-1,1,0.969341
M,wcharm,up,4,0.0,2.5,110,210,-1,1,0.9380409999999999
T,wcharm,central,4,0.0,2.5,20,30,-1,1,0.861774
T,wcharm,central,4,0.0,2.5,30,40,-1,1,0.805859
T,wcharm,central,4,0.0,2.5,40,50,-1,1,0.775946
T,wcharm,central,4,0.0,2.5,50,110,-1,1,0.763757
T,wcharm,central,4,0.0,2.5,110,210,-1,1,0.426576
T,wcharm,down,4,0.0,2.5,20,30,-1,1,0.820883
T,wcharm,down,4,0.0,2.5,30,40,-1,1,0.765652
T,wcharm,down,4,0.0,2.5,40,50,-1,1,0.479445
T,wcharm,down,4,0.0,2.5,50,110,-1,1,0.417804
T,wcharm,down,4,0.0,2.5,110,210,-1,1,0.38801800000000003
T,wcharm,up,4,0.0,2.5,20,30,-1,1,0.902665
T,wcharm,up,4,0.0,2.5,30,40,-1,1,0.846066
T,wcharm,up,4,0.0,2.5,40,50,-1,1,1.072447
T,wcharm,up,4,0.0,2.5,50,110,-1,1,1.10971
T,wcharm,up,4,0.0,2.5,110,210,-1,1,0.465134
L,wcharm,central,5,0.0,2.5,20,30,-1,1,1.004892
L,wcharm,central,5,0.0,2.5,30,40,-1,1,1.012721
L,wcharm,central,5,0.0,2.5,40,50,-1,1,0.986546
L,wcharm,central,5,0.0,2.5,50,110,-1,1,0.979539
L,wcharm,central,5,0.0,2.5,110,210,-1,1,0.946635
L,wcharm,down,5,0.0,2.5,20,30,-1,1,0.9283299999999999
L,wcharm,down,5,0.0,2.5,30,40,-1,1,0.799545
L,wcharm,down,5,0.0,2.5,40,50,-1,1,0.726222
L,wcharm,down,5,0.0,2.5,50,110,-1,1,0.8867910000000001
L,wcharm,down,5,0.0,2.5,110,210,-1,1,0.809469
L,wcharm,up,5,0.0,2.5,20,30,-1,1,1.081454
L,wcharm,up,5,0.0,2.5,30,40,-1,1,1.225897
L,wcharm,up,5,0.0,2.5,40,50,-1,1,1.24687
L,wcharm,up,5,0.0,2.5,50,110,-1,1,1.072287
L,wcharm,up,5,0.0,2.5,110,210,-1,1,1.083801
M,wcharm,central,5,0.0,2.5,20,30,-1,1,0.974186
M,wcharm,central,5,0.0,2.5,30,40,-1,1,0.80563
M,wcharm,central,5,0.0,2.5,40,50,-1,1,0.775725
M,wcharm,central,5,0.0,2.5,50,110,-1,1,0.902168
M,wcharm,central,5,0.0,2.5,110,210,-1,1,0.7998
M,wcharm,down,5,0.0,2.5,20,30,-1,1,0.90151
M,wcharm,down,5,0.0,2.5,30,40,-1,1,0.712726
M,wcharm,down,5,0.0,2.5,40,50,-1,1,0.671037
M,wcharm,down,5,0.0,2.5,50,110,-1,1,0.767822
M,wcharm,down,5,0.0,2.5,110,210,-1,1,0.523318
M,wcharm,up,5,0.0,2.5,20,30,-1,1,1.046862
M,wcharm,up,5,0.0,2.5,30,40,-1,1,0.8985339999999999
M,wcharm,up,5,0.0,2.5,40,50,-1,1,0.880413
M,wcharm,up,5,0.0,2.5,50,110,-1,1,1.036514
M,wcharm,up,5,0.0,2.5,110,210,-1,1,1.076282
T,wcharm,central,5,0.0,2.5,20,30,-1,1,0.861774
T,wcharm,central,5,0.0,2.5,30,40,-1,1,0.805859
T,wcharm,central,5,0.0,2.5,40,50,-1,1,0.775946
T,wcharm,central,5,0.0,2.5,50,110,-1,1,0.763757
T,wcharm,central,5,0.0,2.5,110,210,-1,1,0.426576
T,wcharm,down,5,0.0,2.5,20,30,-1,1,0.779992
T,wcharm,down,5,0.0,2.5,30,40,-1,1,0.725445
T,wcharm,down,5,0.0,2.5,40,50,-1,1,0.182944
T,wcharm,down,5,0.0,2.5,50,110,-1,1,0.071851
T,wcharm,down,5,0.0,2.5,110,210,-1,1,0.34946
T,wcharm,up,5,0.0,2.5,20,30,-1,1,0.9435560000000001
T,wcharm,up,5,0.0,2.5,30,40,-1,1,0.886273
T,wcharm,up,5,0.0,2.5,40,50,-1,1,1.368948
T,wcharm,up,5,0.0,2.5,50,110,-1,1,1.455663
T,wcharm,up,5,0.0,2.5,110,210,-1,1,0.503692
L,incl,central,0,0.0,2.5,20,1000,0,1,1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x 
L,incl,down,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1-(0.0289241+-7.86151e-07*x+4.86818e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1-(0.0285541+-7.789e-07*x+4.8577e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1-(0.00457775)) 
L,incl,up,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1+(0.0289241+-7.86151e-07*x+4.86818e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1+(0.0285541+-7.789e-07*x+4.8577e-10*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1+(0.00457775)) 
M,incl,central,0,0.0,2.5,20,1000,0,1,1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x 
M,incl,down,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1-(0.0870733+4.30455e-06*x+-1.06911e-08*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1-(0.0814075+4.19199e-06*x+-1.09966e-08*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1-(0.0310689)) 
M,incl,up,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1+(0.0870733+4.30455e-06*x+-1.06911e-08*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1+(0.0814075+4.19199e-06*x+-1.09966e-08*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1+(0.0310689)) 
T,incl,central,0,0.0,2.5,20,1000,0,1,1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x 
T,incl,down,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1-(0.193428+0.000128445*x+-1.75534e-07*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1-(0.16019+0.000151662*x+-2.05337e-07*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1-(0.108618)) 
T,incl,up,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1+(0.193428+0.000128445*x+-1.75534e-07*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1+(0.16019+0.000151662*x+-2.05337e-07*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1+(0.108618)) 
